cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
100,CD,1567219838,97,-2.95,25.92,69.82,2.86
100,LS,1567219839,28,-29.15,27.74,40.84,5.61
0,PL,1567219839,93,51.61,16.87,66.99,4.7
81,IN,1567219839,81,17.96,79.61,80.62,12.53
9,NI,1567219839,98,14.03,-84.62,71.08,1.88
20,PE,1567219770,83,-3.75,-73.25,80.6,2.24
15,CO,1567219840,93,2.89,-72.13,72.34,2.53
0,US,1567219599,69,39.15,-123.21,66,1.95
68,RU,1567219840,58,51.65,117.56,70,2.35
0,AF,1567219840,19,36.41,64.91,66.4,5.59
1,US,1567219841,83,33.61,-95.75,75.2,4.7
100,RU,1567219841,66,65.58,-170.99,51.1,8.59
100,IN,1567219835,83,20.51,76.21,75.94,6.17
94,IN,1567219841,92,30.78,78.62,49.12,3.65
100,KH,1567219841,92,13.59,102.97,76.66,10.71
19,RU,1567219842,50,64.27,100.22,54.16,3.24
0,GR,1567219842,59,39.39,21.64,64.4,1.52
100,CN,1567219842,85,31.15,106.5,70.36,2.19
0,BR,1567219842,43,-11.43,-61.44,80.26,0.85
88,RU,1567219842,52,57.84,108.35,64.24,4.07
91,ZA,1567219842,81,-34.04,23.05,50,14.99
90,PH,1567219843,94,18.47,120.58,77,6.93
75,NU,1567219843,57,-19.06,-169.92,75.2,18.34
75,US,1567219843,93,41.11,-90.4,64,4.7
1,US,1567219843,100,37.77,-87.11,75.99,1.83
100,ID,1567219843,57,1.68,101.45,85.3,5.06
75,IS,1567219844,87,63.84,-22.43,44.6,14.99
79,BR,1567219844,68,-4.88,-66.9,78.46,2.35
75,MX,1567219844,79,21.05,-89.07,84.2,5.08
20,US,1567219844,45,58.3,-134.42,68,3.36
0,RU,1567219844,46,48.29,46.17,54.16,1.79
75,US,1567219845,82,44.37,-100.35,61,6.93
0,IN,1567219845,80,29.28,78.83,83.14,7.02
47,BI,1567219845,48,-3.17,29.4,62.8,4.27
20,US,1567219705,77,43.66,-70.25,68,6.93
100,RU,1567219846,76,59.7,150.17,54.88,5.39
75,RU,1567219846,32,51.49,95.55,72.88,1.74
48,ML,1567219727,78,13.3,-4.9,77.74,6.22
49,CA,1567219847,75,48.65,-53.11,61,4
100,RU,1567219847,98,55.83,32.94,55.78,2.84
100,CN,1567219847,96,29.63,109.09,61.9,5.12
95,RU,1567219847,60,51.06,35.71,61,1.3
0,MN,1567219848,29,49.98,92.07,76.48,3.96
0,RU,1567219848,39,52.25,79.17,66.4,11.81
0,BZ,1567219615,94,16.17,-88.94,78.8,1.52
0,AU,1567219848,35,-23.53,148.16,77,5.82
100,RU,1567219848,93,67.55,63.78,44.08,15.32
100,MV,1567219849,75,5.67,73,82.42,10.78
0,TR,1567219849,74,36.95,36.2,79,11.41
75,MX,1567219849,78,16.38,-93.6,77,14.99
36,GB,1567219849,93,60.4,-1.35,53.6,8.05
75,JP,1567219849,74,34.67,136.47,86,2.24
33,CA,1567219850,62,50.56,-96.99,55.99,6.33
0,PT,1567219824,60,37.14,-8.45,75.2,5.82
75,ID,1567219850,54,-8.71,116.27,84.2,11.41
